"Buckets","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
6297.6,734,733,712,647,198,193,362,126,19,1157,2778,1596,1,423,231353,200604,429851,441584,495466,472908,503095
6310.4,1313,1135,1165,1175,354,282,614,204,30,1745,3880,2582,6,680,261100,235855,430254,438304,496372,469972,499588
6323.2,2242,1741,1846,1802,548,460,968,384,59,2689,5597,3966,4,1165,297262,270549,431875,435678,495776,468241,497177
6336,3542,2429,2612,2690,970,695,1467,596,96,4286,7968,5420,10,1803,351577,311892,437943,434352,495243,463489,493578
6348.8,5535,3308,3258,3338,1537,1108,1888,945,146,6481,10722,6781,22,2529,425752,365360,446954,438400,494039,464234,494041
6361.6,7973,4170,4271,4837,2260,1585,2609,1217,243,9468,13417,8273,23,3455,509858,421898,457884,444691,495133,464660,495047
6374.4,11612,5693,5628,6789,2965,2330,3543,1821,381,12899,17009,9892,36,4701,561387,471005,469738,454466,499760,469073,496012
6387.2,15961,7597,7309,9876,4075,3410,5205,2464,524,17981,20979,12267,75,6572,557308,498628,480608,464589,504143,475099,494614
6400,21869,9922,9379,13211,5944,4861,7008,3642,987,23721,25916,14768,105,9396,518896,506257,494428,471974,509998,482417,493263
6412.8,28542,12017,11572,16107,8399,6849,8890,5086,1458,29974,30955,17339,135,12262,476210,494809,510139,478030,514254,489236,492039
6425.6,35648,13911,13119,18267,11655,8760,10535,6474,2105,36159,35870,19124,175,15012,440967,471708,526975,490009,519335,497808,494166
6438.4,41437,15398,13933,19575,14441,10987,11948,7906,2701,42835,39721,19928,255,17365,414842,446833,549128,506462,526127,512127,498067
6451.2,46206,15916,14940,20723,16573,12650,12563,9210,3568,48786,41975,19869,320,19238,408146,428163,566272,527981,539128,527302,499937
6464,49522,16594,15523,21275,18540,14474,13162,10022,4516,52669,43141,19407,393,20479,403665,411075,578781,550738,553140,544509,501216
6476.8,53824,17243,16012,22091,19391,15621,13447,10605,5231,56300,44285,19002,504,21321,402397,396740,585349,569359,560831,558741,503790
6489.6,58327,18033,16582,24058,20354,17025,14087,10890,6168,60070,44768,18630,621,22582,404669,382568,585406,579461,564806,566765,506050
6502.4,65087,18892,17467,26446,21184,18551,15041,11178,7197,64832,45244,19256,696,24104,410054,372855,583399,584514,561129,573482,509657
6515.2,74169,20343,19234,28941,22588,20386,15946,11924,8495,70711,47914,20271,797,26267,420189,366556,581115,590523,556555,576146,511524
6528,82836,21166,19602,30620,25019,22483,17169,12840,9580,79535,49662,20344,993,28983,418796,361357,577947,596585,555828,579749,510670
6540.8,88298,22047,20426,31926,27481,23767,17940,13691,10437,86263,50215,20737,1094,30566,392370,344885,573011,600830,556468,582401,505367
6553.6,94086,22785,20653,32979,29053,24915,18561,14369,11361,93104,50207,20737,1257,32211,348645,320905,562094,602470,557388,582190,497570
6566.4,99796,23032,21024,33786,29726,25967,19230,15168,12428,98618,49969,20275,1405,34153,312923,295751,546043,600539,554534,580911,491166
6579.2,102390,22747,20623,33475,30864,26688,18934,15827,13053,101367,48369,19555,1582,35037,288214,270734,532444,594893,548811,577599,483175
6592,98627,21393,19532,30698,31547,26252,18281,16019,13044,102367,46355,18468,1654,34460,270363,249108,512522,587418,540242,574275,479021
6604.8,88277,19380,17216,26284,30970,24017,16419,15759,12588,97127,42813,16451,1815,32249,260749,234926,488846,578337,531912,566308,477749
6617.6,74863,17143,15271,21714,28723,20740,14119,14699,10825,87759,37665,14686,1983,27997,277310,234657,462758,562032,517248,549927,473749
6630.4,64093,14761,13840,18104,24515,17039,11706,12810,8914,75637,33914,13173,2192,22919,319291,250003,436353,534193,493774,525824,469305
6643.2,59687,13849,12996,17373,20224,14102,10602,10901,7272,64392,31579,12668,2462,18932,359228,272115,415232,507031,464000,499575,468263
6656,67656,14873,14077,19781,17404,13154,10856,9348,6080,60430,32760,14185,2659,17143,379319,296197,406067,494048,439753,483140,474118
6668.8,89543,17804,17069,26733,16907,14857,13168,9223,6800,69254,39143,18258,3098,19222,420923,337203,400488,495250,426426,478282,483633
6681.6,120918,22746,21625,35425,19805,19718,17478,10412,8947,90160,49742,23826,3372,25107,491489,398842,389171,494026,422881,474205,489795
6694.4,152637,28459,26810,44911,25611,26281,22192,13512,12416,119803,62315,30368,3829,34396,551363,467902,377283,480776,416291,462427,484799
6707.2,172576,33544,31382,51872,33938,33012,27375,17687,16523,146927,73380,35991,4554,42966,590195,527045,361534,456605,400551,440659,468668
6720,177412,38402,35412,56759,42479,37975,31574,22097,19949,164734,82781,40648,5079,50328,591451,563443,348427,430640,379200,413791,446745
6732.8,175699,42552,40085,60698,49004,41214,34911,26390,22353,171038,89934,45147,5794,54477,557965,573289,332504,410931,356483,388848,421343
6745.6,177386,46403,43668,65245,54018,43149,37927,29700,24121,172551,97341,50635,6727,58085,535056,579517,315587,392102,334178,364897,397878
6758.4,189586,51536,47331,70589,56951,45899,40692,32245,25122,175199,108860,58708,7752,61506,548091,606154,294962,374463,312687,343657,373016
6771.2,214457,57309,52431,77825,60955,50657,44722,34694,26238,190566,122510,68215,8701,65839,584373,649697,273853,352501,288302,323528,345526
6784,251214,65577,59941,88309,66678,56851,50559,37182,29081,218764,141229,80621,10051,71994,616485,696921,259766,328980,263421,302524,319408
6796.8,294805,78160,70210,105901,74103,65389,60305,41244,32935,257178,167311,95368,11897,83371,629149,731120,254798,311548,241024,285095,304964
6809.6,343888,94080,86060,129155,83750,80057,73909,47822,40051,299950,202566,116611,13249,99328,616261,742110,260191,303956,226173,275996,302464
6822.4,390835,111981,103661,153829,99969,100882,90089,58759,50663,347964,244708,139612,15351,120965,590854,739270,270677,309089,223478,275546,310925
6835.2,425020,129531,119209,172859,120892,123170,105714,71089,62503,393765,289672,160776,17240,145617,556711,730528,279655,320047,229448,282130,323113
6848,450114,147335,135028,191828,144281,140896,119508,83925,73330,437265,329140,181930,19192,170422,519357,719878,284890,332593,238589,294460,333469
6860.8,479387,166953,152487,219831,163795,158939,135750,96742,84148,476000,363724,205860,21910,195329,485810,708312,281250,345737,245993,303683,334023
6873.6,518325,192077,175165,258609,182031,182717,157221,110172,101399,516120,402379,236795,24677,227892,449994,687842,267337,346855,249214,302586,323739
6886.4,563344,220996,200462,305773,206128,213112,182725,127406,127126,558247,443600,274536,27138,270917,411294,653783,247780,325217,242084,287220,302261
6899.2,609731,251029,227475,354159,239079,249047,212046,145262,154238,600833,482721,316946,29367,320802,376397,606982,229057,291841,218865,263707,277733
6912,648352,278863,253888,396832,280760,286004,238913,167775,179964,634210,515613,356531,32545,370393,347792,558020,220989,269331,193780,243193,259353
6924.8,680904,303731,276829,425296,324324,319203,263214,192667,202600,658501,536107,388776,35135,410734,327968,507884,220171,261864,177692,233312,251463
6937.6,702542,320116,293504,440948,360669,346518,280243,216144,223385,676542,543149,408851,38483,440103,318740,468579,224596,265977,172112,233686,251578
6950.4,698940,330293,302610,444630,389056,364833,291389,234428,239759,685611,535450,418192,41964,454908,316474,435594,227849,272707,174814,238255,256142
6963.2,667306,335069,307354,441050,408358,371591,294737,248415,251254,675068,516057,418002,44550,455817,311648,402738,225240,275811,177851,242696,258486
6976,626767,337572,310412,434652,415249,370017,299101,257748,258130,650656,489560,418190,48268,446800,305073,367951,217124,275921,179031,241841,255299
6988.8,583781,339358,314048,429578,416074,366290,302812,262693,264938,613153,464292,418457,51448,435359,295386,337201,204569,264824,173966,234498,245224
7001.6,546808,342286,318207,428106,413298,363934,306748,267503,275287,576736,443016,424114,55261,427718,287538,309354,189462,246613,163015,219256,225591
7014.4,514946,341971,318263,419721,412176,362117,311145,275225,282932,538912,426744,425639,59223,419817,279402,284055,177435,225324,146808,203146,201569
7027.2,474247,335951,314066,402035,412880,355908,307257,281587,285925,501779,409793,421108,63899,408623,262084,260450,172289,211241,130769,191451,183523
7040,423047,324837,304851,374638,406445,340868,298689,283083,282657,459981,384670,409884,69056,388130,231457,234461,169509,206296,121044,184279,174514
7052.8,365839,311961,294933,345424,388711,322025,288564,281473,274281,409501,356783,390338,73847,365834,194982,207170,165257,205138,118417,180712,174106
7065.6,314297,296140,280590,316853,363618,299101,274511,277696,261926,356853,325355,365394,78614,337955,162308,179864,158848,197189,116088,175421,174172
7078.4,267390,277894,265509,285967,336033,277280,256996,267776,248429,303640,293836,337195,82190,308691,134777,154675,151329,187870,112469,168827,170288
7091.2,228601,259783,251747,258529,309849,254007,241880,255500,230614,256767,265275,308420,86008,278785,116490,133349,142414,181279,105835,160074,162749
7104,201346,245464,239350,238924,283967,236379,229756,242321,211403,220174,241057,281583,90179,253788,118807,126808,130620,169793,100594,148993,148746
7116.8,190902,235929,232305,228325,259150,223934,219822,228773,199113,194688,227150,262051,93805,234857,144996,137318,118483,150177,91908,134344,130522
7129.6,192556,233345,230178,225376,242041,218406,217377,219396,193904,183529,218021,249357,96893,223425,186405,166550,106783,127770,78950,114654,110821
7142.4,201842,236729,234273,228196,233622,216187,220096,212693,193069,185348,215608,247118,101611,218694,224064,205541,98994,106236,65756,96326,92956
7155.2,210743,250997,250073,243246,234391,222830,233391,210376,195520,190815,218434,261945,106390,222774,236141,232420,93300,90381,54633,82785,79846
7168,225714,276469,272739,269525,239150,238088,258351,217707,205108,199628,231714,299453,111964,236489,216473,238876,88574,80594,46511,71916,70003
7180.8,248938,301681,300773,299634,254906,263505,285815,237069,228191,213976,253719,343547,118028,259365,199425,238669,84413,70890,40710,63543,62384
7193.6,267052,320600,321828,317903,282306,287630,306109,260291,252118,230032,278206,381125,125615,285026,219170,252471,80233,62315,35511,55966,55131
7206.4,278359,335379,336466,319644,308977,300072,320975,284893,268962,246079,296961,402241,136557,303340,264829,285580,78286,55912,30967,50147,49532
7219.2,285073,346578,347460,318593,324717,309107,329896,304314,280367,256673,309843,406886,147907,312694,310561,334495,76873,50112,27723,45175,44713
7232,293192,361791,362296,323775,331425,316623,339956,320203,295013,265757,320199,410918,161254,317013,331619,375888,76266,45381,25413,41467,41661
7244.8,312504,384135,385207,348224,332174,328042,362807,335823,314683,276065,335490,429049,174172,325485,324869,391629,75436,42643,23642,38710,39742
7257.6,345654,411658,414117,385976,341363,349844,391851,353884,347911,289899,364133,464097,190251,345089,311185,382128,74768,40121,22699,36582,38470
7270.4,383449,432861,441173,412714,364516,380469,417138,381303,381696,312063,403305,502868,207757,375806,304874,373579,73756,36844,21344,33993,36656
7283.2,419367,446860,454970,424086,396574,402040,432861,407510,401292,342314,440019,539280,226050,403235,310024,374696,71641,33742,19675,31831,34219
7296,455105,460637,466690,436298,420212,414053,445816,429865,409589,378045,469238,574113,246279,423607,317088,387646,69841,30807,18401,29058,32278
7308.8,487228,484496,484372,465991,432641,427622,463210,445986,424831,414651,496855,606186,266490,446304,308571,402557,67929,28470,17010,26966,29973
7321.6,513994,517106,512246,519758,443175,459208,496338,465678,467441,453626,523921,637673,285632,477567,278143,398203,65173,25635,15563,25030,27918
7334.4,534162,551046,541067,584062,473550,509259,536488,494637,534488,487373,556436,674316,306142,526059,243274,367088,63645,23098,14475,23704,25460
7347.2,543567,571891,560796,628040,526730,556358,567922,528157,591181,513032,585738,706550,326223,580238,212688,319636,62929,21686,13558,21890,23687
7360,543844,576968,566226,639612,583415,588085,580552,561366,619494,525785,601698,720011,345258,618726,187311,266306,62166,19670,12760,20890,22128
7372.8,527799,564724,550168,620654,620892,601023,571703,583961,619246,528077,599958,714308,365637,633989,167146,216706,62038,18971,12359,19843,21121
7385.6,502179,538549,523438,584104,627103,592888,543869,589009,596622,519361,579550,684625,380235,622621,147913,174442,61361,18058,11857,18562,21054
7398.4,469749,504906,489057,543812,607335,562783,507201,567601,559063,500196,540675,642733,394639,590059,133230,143225,60411,17154,11543,17960,20955
7411.2,437340,468725,453983,503200,573845,519567,467421,531344,516659,476948,499835,596554,403719,546229,122396,122282,58862,16500,11114,16943,20649
7424,407432,437761,424756,471540,535541,476755,435159,487717,473094,449609,458435,552682,406307,500902,112891,104216,57095,15439,10618,16100,19919
7436.8,384589,418388,405440,451304,497354,445955,413766,447923,443895,421239,425545,523035,405958,465517,103057,89924,55174,15067,10126,15511,18295
7449.6,366370,406139,395330,437124,463911,427827,402085,418769,423537,396585,404026,502902,404099,440011,94487,80297,53871,14730,9561,14843,17117
7462.4,349482,395708,386583,421526,443367,413299,392502,401247,409641,378293,385870,483444,401885,421286,88321,72256,52598,14143,9409,13924,15667
7475.2,325572,385369,375713,400486,432238,398317,383740,388395,396094,359843,366305,464177,398600,403292,80994,65206,51114,12599,8813,13417,14055
7488,299647,373548,365239,379453,415845,384601,375252,378836,383805,335418,347349,444145,394148,385388,74279,58363,50399,11268,8009,12255,13118
7500.8,273116,362028,355112,354940,394955,368250,365705,373438,372992,308266,325684,425359,389670,364599,69181,52567,49100,10072,7198,11134,12244
7513.6,242766,346560,342009,329905,372644,349854,352061,367848,360081,277564,301620,399273,380939,347029,64741,46301,48641,9066,6273,10031,12114
7526.4,208839,323100,321680,298572,350969,330059,333202,359044,344700,247339,273216,365890,375376,321779,58391,40144,47218,8703,6052,9202,11544
7539.2,176092,296540,294823,258364,323795,303864,306316,344452,319906,213475,243880,325675,367934,291091,50806,34513,45131,8088,5671,8734,11027
7552,144490,264132,263752,218966,291913,269272,273017,322263,285795,180284,212634,280546,360632,255593,44311,30087,44111,7670,5516,8094,10214
7564.8,120972,234636,236883,184045,253489,232925,239358,294873,249929,150249,182544,236978,350970,218074,39152,25626,42558,7115,5230,7745,9410
7577.6,105223,207367,211554,156914,216017,199770,210131,263817,213928,125763,156261,199499,339593,183417,35114,22818,41187,6687,4799,7169,8458
7590.4,101881,189133,196979,142753,184259,173444,188781,233854,183667,111453,137033,175503,326515,157749,32386,20413,40826,6108,4449,6671,7802
7603.2,113965,183979,194136,145736,161147,160007,180740,209145,164529,110728,131201,167501,314992,142339,32243,20520,40491,5970,4119,6518,7325
7616,134426,189522,202425,159448,150506,160906,187786,196110,160642,122718,137743,175627,303831,143038,34546,22387,39736,5922,3800,6216,7146
7628.8,153201,201729,218060,175531,154526,173053,201659,196325,170177,140545,150447,190294,296262,154108,39801,25596,38027,5794,3786,5816,6727
7641.6,159999,220171,235697,189940,169558,189261,220572,206190,188915,152965,162158,205591,290454,169410,44822,28289,36963,5310,3444,5526,6461
7654.4,153951,240368,254814,201500,187305,206751,241270,221881,211580,156252,171180,219326,287013,182688,45105,28784,35901,4797,3123,4888,5698
7667.2,147466,262568,280107,217803,202193,226620,267494,244928,242019,152524,177336,234602,286645,196175,42978,26834,35693,4267,2745,4414,5210
7680,148671,284668,302784,238066,217420,247551,290964,272180,277222,148569,186632,251353,291679,211364,43279,24306,35579,3820,2528,4117,4704
7692.8,159330,300296,315847,258085,234060,266603,309163,299314,308080,150196,198993,266462,298990,231992,47178,23632,34826,3386,2213,3746,4091
7705.6,175206,304929,321838,274703,253290,282754,318581,319675,325208,157410,219204,281146,310273,251801,53363,24639,34237,2939,1816,3231,3405
7718.4,190045,300614,315374,276042,270630,290866,315034,331894,329582,167482,240296,288207,323337,271390,59739,26951,33250,2656,1487,2709,3182
7731.2,197172,288079,303211,265854,281995,288616,302178,332193,316361,180450,252626,290635,338172,279953,61517,28566,32115,2194,1231,2281,2669
7744,198019,279037,293100,263704,281642,279120,292171,321182,300957,186169,257686,294695,351524,282325,60040,28212,31797,1888,985,1881,2422
7756.8,200342,277717,291091,274495,274444,277367,289718,306366,302312,188535,261175,305571,364796,286491,59164,26137,30531,1412,813,1524,2127
7769.6,208360,285749,297813,298467,272799,287798,298621,298403,325066,193167,269582,323762,376509,297082,62432,23131,29498,1216,686,1212,1950
7782.4,223000,298514,309003,326626,284572,306483,312325,299990,357528,204187,280564,347920,385805,317597,68666,21204,27862,983,552,1067,1686
7795.2,242159,310329,318364,348916,307372,329302,325245,307720,375566,217651,293430,368446,395798,338411,71833,19869,27310,934,446,997,1729
7808,258488,316133,322491,360053,333692,344614,332707,320217,383021,231987,303584,381704,406653,358625,70581,19005,27796,1070,486,1064,1775
7820.8,265746,316595,319636,354975,352099,351521,330753,328254,381651,243972,307961,381718,413766,367099,65766,18251,28693,1333,541,1210,2120
7833.6,263609,307759,308237,337946,358517,346129,321814,330719,375182,250486,303113,366460,419487,361826,62506,17089,29598,1664,620,1416,2267
7846.4,254020,295033,293239,317093,349912,329453,305436,322311,358576,251450,289738,341373,421095,347747,60143,15565,30026,1629,628,1478,2327
7859.2,240277,280902,279535,298947,330942,307763,290389,309122,335988,247679,273899,316772,420731,325593,59737,14323,29956,1415,663,1295,2238
7872,225587,270998,269816,283685,307096,289637,279050,295206,319187,239878,257238,293642,416039,305992,57431,13135,29977,1190,552,1128,2026
7884.8,210553,263028,261431,270266,287907,275210,269971,283008,305661,228136,243125,272423,407837,287420,54441,12116,28716,1031,452,931,1746
7897.6,194608,255186,255653,257696,273819,264588,263344,273388,296072,214293,231570,253728,397848,271809,49241,11292,27190,864,422,809,1425
7910.4,179425,248708,249123,248247,262604,254582,256486,265403,284933,200308,219409,240093,384071,258838,45437,10582,26020,860,347,713,1347
7923.2,165794,245458,245615,239156,253975,244862,253109,259647,275056,185630,208442,226948,368787,245876,41283,9933,25708,739,286,697,1398
7936,154293,244535,245353,234953,243883,238834,252985,255878,271379,171267,199139,221778,353633,235737,39607,9357,26269,869,309,710,1416
7948.8,146601,241947,242667,231332,237480,236118,253192,256475,271497,160144,192240,216986,340063,231416,38019,9221,27495,890,323,756,1414
7961.6,137345,237371,239212,222679,235537,232981,251512,256037,269433,151289,184617,207805,329464,223832,36027,8983,27808,998,344,697,1543
7974.4,127770,229254,230601,208480,232019,226967,243760,254189,261452,141652,175794,196788,321368,215284,33683,8415,28176,977,284,748,1443
7987.2,117850,216800,220691,193684,224262,217378,233235,250053,249420,132702,163806,181034,312056,204136,31619,8062,27437,997,281,715,1362
8000,107356,203711,207999,176424,212038,203484,218026,243224,234982,121568,152473,162906,302909,190737,28916,7368,25750,920,250,660,1260
8012.8,97049,187089,192192,157256,196088,189041,199531,230325,219219,109891,139311,143117,293304,176184,27040,6721,23960,823,241,603,1207
8025.6,83643,166641,173117,135022,180120,170967,177803,214103,200333,97996,125010,121287,282333,158395,24936,5822,23039,695,214,533,1193
8038.4,72040,147008,153310,112038,161929,148795,153128,194088,176829,86027,108065,99295,271471,137187,22047,4873,22577,851,222,523,1106
8051.2,60463,127170,133969,92734,139679,126574,131126,173284,151021,74469,92534,79367,263637,116053,18385,3760,22533,1093,216,592,1159
8064,50839,109596,117270,77136,118003,106694,110578,149227,126018,63948,78461,62897,252758,97372,15547,2990,22235,1151,242,694,1262
8076.8,43630,98970,105727,68184,98282,90288,96574,128161,104862,54271,66372,51794,241805,81773,12834,2291,22271,985,211,694,1193
8089.6,39368,99983,105511,69946,82908,80610,96187,111299,92004,47540,59440,49702,230911,71836,10984,1904,22026,814,187,637,1205
8102.4,40528,112781,117718,84324,75597,84596,109881,105722,97594,43857,58263,58883,220112,70742,10538,1901,21031,649,191,511,1155
8115.2,45488,128049,134167,101951,79749,100467,130536,113236,119537,46427,63332,74210,210056,78812,11398,2168,19305,583,171,406,1073
8128,51302,137661,144354,110584,93825,117500,144210,128917,142283,51450,70399,87239,202948,89707,13962,2828,17031,506,133,393,1065
8140.8,55276,137216,144543,106375,110033,124238,144966,142834,151757,55404,74880,90815,198427,96082,16340,3448,14888,435,84,313,1052
8153.6,54726,129787,137004,96394,117642,120058,136131,149201,146039,55465,75343,84558,196911,95628,18125,3904,13639,410,81,257,974
8166.4,53621,121370,130301,87749,113387,109779,124186,147608,134026,54340,73070,75883,194754,90411,17934,3730,12642,405,59,252,999
8179.2,55206,117582,127256,86695,101783,101544,116321,136776,124349,53621,70448,69527,195603,85462,18328,3208,11838,428,77,267,976
8192,59418,119262,131465,91770,93377,98312,117494,127529,121913,56129,70661,71156,196673,86401,20279,2746,10992,454,48,266,1044
8204.8,64511,127126,140553,101493,93715,102591,126532,124263,129463,60743,73869,78486,201479,92097,23795,2589,10212,471,55,272,981
8217.6,68637,137313,151947,108158,100563,112214,137892,130176,147405,67150,78368,85325,208025,99800,27106,2627,9506,393,39,259,992
8230.4,69914,144130,157668,111422,110202,121652,145167,139969,165401,71685,83350,90076,216581,106101,29055,2878,9010,377,38,221,962
8243.2,70184,148330,159489,113102,117053,125762,148839,150155,173725,73923,86733,90575,226903,109739,27390,2920,8312,327,42,228,992
