"sampleid","foo","bar"
615,5449,5165
616,6144,6282
617,5712,5795
618,5689,5888
619,5657,5418
620,5529,5750
621,5840,6112
622,5600,5968
623,5843,5936
624,5395,6070
625,5238,5552
626,6240,5760
627,5987,6263
628,5888,5725
629,6071,6234
630,5600,6464
631,5360,6377
632,6128,6153
633,5472,5488
634,5795,5830
635,5418,5514
636,5373,5955
637,6105,5725
638,5959,5581
639,5667,6442
640,6227,5357
641,5622,5337
642,6250,6070
643,5866,6042
644,5436,5750
645,6048,5485
646,5814,5702
647,5399,5741
648,5872,5843
649,5513,5235
650,5632,6035
651,6118,6182
652,5552,6544
653,6029,5420
654,5427,6195
655,6279,5670
656,6365,5449
657,5811,5578
658,5639,5436
659,6819,5619
660,5933,6412
661,5840,5693
662,5549,5424
663,5894,6003
664,5840,5523
665,5511,5888
666,5456,6170
667,5414,6057
668,6332,5322
669,5673,5482
670,5820,6147
671,6151,5603
672,5264,5693
673,5363,5399
674,5786,6326
675,5821,5475
676,5411,5760
677,5402,5642
678,6205,6083
679,6112,6154
680,6471,5689
681,5670,5475
682,5543,5616
683,6333,5536
684,6201,5594
685,5670,5629
686,5523,6256
687,5449,5177
688,5306,5930
689,5994,6323
690,6451,5408
691,5782,5357
692,5658,5607
693,5600,5904
694,5827,5379
695,5555,5245
696,5779,6547
697,5427,5508
698,6576,6137
699,5776,5392
700,6134,5927
701,5584,5399
702,5508,5341
703,5821,5482
704,5690,6317
705,5488,6368
706,6628,5210
707,6253,5949
708,5274,5527
709,5785,6147
710,5545,5331
711,6669,5805
712,6198,5360
713,5955,5542
714,5834,6138
715,6263,5475
716,6406,6256
717,6758,5878
718,6204,6032
719,6154,6092
720,5959,5248
721,6115,5290
722,5607,5379
723,5427,5725
724,5904,5648
725,5590,5312
726,6180,6208
727,5456,5856
728,5692,5270
729,6285,5414
730,5997,5747
731,5737,5894
732,5335,6480
733,6551,5447
734,5466,6131
735,6202,6157
736,5452,5469
737,6163,5437
738,6055,6361
739,5606,5488
740,5498,5472
741,5994,5500
742,5322,6160
743,6022,6064
744,5565,6522
745,6547,6355
746,6464,5654
747,6422,5299
748,6087,5725
749,5699,5670
750,5625,5644
751,5369,5466
752,6000,6007
753,5430,5517
754,5926,5488
755,5437,5805
756,6327,5331
757,6506,6109
758,5603,5661
759,5923,5424
760,5933,6122
761,6288,6006
762,5552,5584
763,5980,5613
764,5574,5661
765,5604,6214
766,5731,5670
767,6627,5693
768,5744,5802
769,5481,6262
770,5437,5670
771,5620,5581
772,5770,5437
773,6157,5872
774,6150,6157
775,6282,6806
776,6438,5667
777,6163,5325
778,5529,5306
779,5411,5357
780,6304,5670
781,6362,5699
782,5347,5641
783,5318,5670
784,5252,6080
785,5757,5302
786,5812,5558
787,5610,6480
788,6147,5667
789,6170,6051
790,5440,5460
791,5552,5536
792,5402,5610
793,5206,5737
794,5668,5651
795,5510,5568
796,6858,6246
797,6035,5844
798,6438,6055
799,5709,5539
800,5936,5546
801,5875,5546
802,5706,5558
803,5728,5984
804,5991,6022
805,6359,5900
806,5209,5766
807,5372,5344
808,6253,5865
809,5450,5373
810,5619,5722
811,6278,6122
812,5356,6237
813,6109,6166
814,6185,5961
815,5917,5379
816,6221,5610
817,5437,6106
818,6039,5751
819,5638,6442
820,5344,6627
821,6515,6077
822,5337,5338
823,6160,5690
824,5722,5949
825,6105,5644
826,5584,6074
827,5309,5984
828,5337,6259
829,6170,5799
830,6580,5622
831,5504,5879
832,6189,5875
833,5494,5808
834,5565,5888
835,5321,6026
836,5424,5366
837,5635,5645
838,5645,5629
839,5475,6202
840,6205,5251
841,5456,5860
842,6186,5520
843,5545,5907
844,5686,5971
845,6279,5661
846,5353,5641
847,6202,6233
848,5440,6169
849,6009,11386
850,6288,5258
851,5415,5488
852,5584,6067
853,6077,5670
854,6231,6019
855,5971,6246
856,6032,6041
857,5449,5591
858,5241,5404
859,6112,5475
860,5731,5347
861,6519,5450
862,5655,5968
863,6276,5642
864,6080,5264
865,5581,5811
866,5619,5523
867,5463,6032
868,6106,5484
869,5965,5546
870,6237,6007
871,6157,5270
872,6035,5587
873,6186,6327
874,5360,5671
875,5412,5536
876,6393,5382
877,5488,5833
878,5760,6109
879,6042,6393
880,5623,5917
881,5834,5372
882,5852,5952
883,5936,5290
884,5773,5385
885,5392,5837
886,6176,5789
887,5686,6035
888,5584,5402
889,5875,6045
890,5459,6160
891,6423,6214
892,5369,5491
893,6004,6186
894,5964,5331
895,5276,6333
896,6096,6298
897,6115,6186
898,5616,6396
899,5414,5676
900,5718,5376
901,5946,6077
902,6176,6221
903,5876,5536
904,5837,6032
905,6282,5373
906,6509,5860
907,5344,5564
908,6010,5507
909,5283,5900
910,5319,6064
911,5923,5485
912,5600,5808
913,5856,6218
914,5805,5632
915,6119,5837
916,5402,5303
917,5747,5894
918,6073,6234
919,5686,5268
920,5401,5424
921,5744,5478
922,5578,6598
923,5789,6019
924,5766,5552
925,5654,6147
926,6058,5901
927,5508,5395
928,5364,5732
929,6208,5728
930,5283,6774
931,6445,6077
932,5337,5926
933,5504,5888
934,5402,6055
935,6301,5753
936,5376,5373
937,5511,6022
938,6551,6070
939,5859,6221
940,6137,5766
941,5709,5450
942,5747,6080
943,6243,6243
944,5738,6333
945,6058,6365
946,5610,5555
947,5552,5353
948,6233,5635
949,5507,5248
950,6279,5235
951,5926,5450
952,5844,5994
953,6141,6195
954,6332,5296
955,5389,5491
956,6237,5974
957,5645,5312
958,5523,6105
959,5869,5341
960,6116,6138
961,5884,5802
962,6394,6166
963,5837,5443
964,6208,5628
965,5357,5875
966,5465,5354
967,5360,6103
968,5088,6439
969,6336,5325
970,5424,5270
971,6339,6266
972,6083,5846
973,5353,5546
974,5990,5267
975,5267,6375
976,5555,5623
977,6013,5654
978,5462,5952
979,5472,5479
980,5427,5897
981,5363,6048
982,5670,5827
983,5623,6311
984,6279,5668
985,5373,5616
986,5546,5449
987,5143,6439
988,5645,5731
989,5524,6004
990,5273,5462
991,5821,6297
992,5661,5648
993,5497,6121
994,5684,5453
995,6016,5274
996,5440,5747
997,6154,5578
998,5968,5510
999,5526,5642
1000,6105,5767
