                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
                            [     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->            ][     ratio->       1.47x]
                  read-64KiB[     32541.5     33582.4][   2082656.4   2149276.1][         0.0         0.0][   2082656.4   2149276.1][     32541.5     33582.4][         0.0         0.0][  22756096.0  22425958.4][         0.0         0.0]
                            [     ratio->       1.03x][     ratio->       1.03x][     ratio->            ][     ratio->       1.03x][     ratio->       1.03x][     ratio->            ][     ratio->       0.99x][     ratio->            ]
           randwrite-4096KiB[       254.8       214.7][         0.0         0.0][       254.8       214.7][   1043504.3    879098.3][         0.0         0.0][   1043504.3    879098.3][         0.0         0.0][2412273971.22090033152.0]
                            [     ratio->       0.84x][     ratio->            ][     ratio->       0.84x][     ratio->       0.84x][     ratio->            ][     ratio->       0.84x][     ratio->            ][     ratio->       0.87x]
            randread-4096KiB[       299.1       167.5][   1225079.5    685751.3][         0.0         0.0][   1225079.5    685751.3][       299.1       167.5][         0.0         0.0][2951110476.83796609971.2][         0.0         0.0]
                            [     ratio->       0.56x][     ratio->       0.56x][     ratio->            ][     ratio->       0.56x][     ratio->       0.56x][     ratio->            ][     ratio->       1.29x][     ratio->            ]
                read-4096KiB[       361.8       180.1][   1481731.5    737793.9][         0.0         0.0][   1481731.5    737793.9][       361.8       180.1][         0.0         0.0][4452074022.44107869913.6][         0.0         0.0]
                            [     ratio->       0.50x][     ratio->       0.50x][     ratio->            ][     ratio->       0.50x][     ratio->       0.50x][     ratio->            ][     ratio->       0.92x][     ratio->            ]
              randrw-4096KiB[       251.3       154.0][    437944.9    267580.8][       144.3        88.8][   1028604.6    631343.3][       107.0        65.2][    590659.7    363762.6][2474962662.43337097907.2][3037235507.23728230809.6]
                            [     ratio->       0.61x][     ratio->       0.61x][     ratio->       0.62x][     ratio->       0.61x][     ratio->       0.61x][     ratio->       0.62x][     ratio->       1.35x][     ratio->       1.23x]
                randrw-64KiB[     20782.0     19713.0][    691738.5    658600.5][      9973.5      9422.4][   1330041.1   1261632.4][     10808.4     10290.6][    638302.6    603032.0][  34567833.6  28393472.0][  46075904.0  42662502.4]
                            [     ratio->       0.95x][     ratio->       0.95x][     ratio->       0.94x][     ratio->       0.95x][     ratio->       0.95x][     ratio->       0.94x][     ratio->       0.82x][     ratio->       0.93x]
           randwrite-1024KiB[       950.8       843.5][         0.0         0.0][       950.8       843.5][    973508.1    863690.4][         0.0         0.0][    973508.1    863690.4][         0.0         0.0][ 446967808.0 580679270.4]
                            [     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->            ][     ratio->       1.30x]
               write-1024KiB[      1075.6      1133.9][         0.0         0.0][      1075.6      1133.9][   1101461.2   1161120.5][         0.0         0.0][   1101461.2   1161120.5][         0.0         0.0][ 473930137.6 528670720.0]
                            [     ratio->       1.05x][     ratio->            ][     ratio->       1.05x][     ratio->       1.05x][     ratio->            ][     ratio->       1.05x][     ratio->            ][     ratio->       1.12x]
               randrw-256KiB[      5062.2      5032.0][    709261.0    705593.0][      2291.6      2275.7][   1295911.8   1288178.3][      2770.6      2756.2][    586650.8    582585.3][ 124877209.6 101108121.6][ 160915456.0 134352281.6]
                            [     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.81x][     ratio->       0.83x]
            randwrite-256KiB[      4013.3      3574.4][         0.0         0.0][      4013.3      3574.4][   1027383.9    915041.3][         0.0         0.0][   1027383.9    915041.3][         0.0         0.0][ 152451020.8 155968102.4]
                            [     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->            ][     ratio->       1.02x]
                write-256KiB[      4291.0      4278.4][         0.0         0.0][      4291.0      4278.4][   1098489.4   1095270.2][         0.0         0.0][   1098489.4   1095270.2][         0.0         0.0][ 145077555.2 128506060.8]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       0.89x]
            randread-1024KiB[      2292.9      2160.8][   2347984.2   2212647.5][         0.0         0.0][   2347984.2   2212647.5][      2292.9      2160.8][         0.0         0.0][ 181036646.4 218486374.4][         0.0         0.0]
                            [     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       1.21x][     ratio->            ]
                  read-16KiB[    143702.8    141733.6][   2299246.2   2267739.2][         0.0         0.0][   2299246.2   2267739.2][    143702.8    141733.6][         0.0         0.0][   6797696.0   6560921.6][         0.0         0.0]
                            [     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.97x][     ratio->            ]
             randwrite-64KiB[     16907.1     15730.0][         0.0         0.0][     16907.1     15730.0][   1082054.4   1006719.3][         0.0         0.0][   1082054.4   1006719.3][         0.0         0.0][  49626931.2  41683763.2]
                            [     ratio->       0.93x][     ratio->            ][     ratio->       0.93x][     ratio->       0.93x][     ratio->            ][     ratio->       0.93x][     ratio->            ][     ratio->       0.84x]
             randread-256KiB[      8751.8      8478.1][   2240447.0   2170396.9][         0.0         0.0][   2240447.0   2170396.9][      8751.8      8478.1][         0.0         0.0][  96272384.0  68563558.4][         0.0         0.0]
                            [     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.71x][     ratio->            ]
               randread-4KiB[    460911.4    460494.9][   1843645.4   1841979.9][         0.0         0.0][   1843645.4   1841979.9][    460911.4    460494.9][         0.0         0.0][   1073140.8   1350419.2][         0.0         0.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.26x][     ratio->            ]
           RATIO GEO_MEAN-->[       1.00x       0.92x][       1.00x       1.03x][       1.00x       0.90x][       1.00x       0.93x][       1.00x       0.92x][       1.00x       0.90x][       1.00x       0.93x][       1.00x       1.02x]
