Linux 2.6.32-558.el6.x86_64 (dellfsvr1) 	05/18/15 	_x86_64_	(32 CPU)

23:59:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:59:46       4    0.00    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.70
23:59:46       5    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:46       6    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
23:59:46       7    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90

23:59:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:59:56     all    0.01    0.00    0.02    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:59:56       0    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:56       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:56       2    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:56       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:56       4    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
23:59:56       5    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
23:59:56       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:59:56       7    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80

23:59:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:00:06     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.96
00:00:06       0    0.20    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.70
00:00:06       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:06       3    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:06       4    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.60
00:00:06       5    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:06       6    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70
00:00:06       7    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80

00:00:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:00:16     all    0.01    0.00    0.02    0.00    0.00    0.00    0.00    0.00    0.00   99.97
00:00:16       0    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:16       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:16       2    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
00:00:16       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:16       4    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70
00:00:16       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:16       6    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:16       7    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90

00:00:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:00:26     all    0.01    0.00    0.02    0.00    0.00    0.00    0.00    0.00    0.00   99.97
00:00:26       0    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:26       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:26       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:26       3    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:26       4    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
00:00:26       5    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:26       6    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:26       7    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80

00:00:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:00:36     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.96
00:00:36       0    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
00:00:36       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:36       2    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:36       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:36       4    0.00    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   99.70
00:00:36       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:36       6    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:36       7    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70

00:00:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:00:46     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
00:00:46       0    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:46       4    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70
00:00:46       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:46       6    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
00:00:46       7    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90

00:00:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:00:56     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
00:00:56       0    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
00:00:56       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:56       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:56       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:00:56       4    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
00:00:56       5    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
00:00:56       6    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.70
00:00:56       7    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
