timestamp_ms,primaries,replication,total
1485175356386,15,1,30
1485175359662,15,1,30
1485175362924,15,1,30
1485175365988,15,1,30
1485175369618,15,1,30
1485175374039,15,1,30
1485175377146,15,1,30
1485175380559,15,1,30
1485175384466,15,1,30
1485175387708,15,1,30
1485175391212,15,1,30
1485175394826,15,1,30
1485175398209,15,1,30
1485175401675,15,1,30
1485175405372,15,1,30
1485175408483,15,1,30
1485175411738,15,1,30
1485175414868,15,1,30
1485175417887,15,1,30
1485175420927,15,1,30
1485175424034,15,1,30
1485175427219,15,1,30
1485175430368,15,1,30
1485175433549,15,1,30
1485175436574,15,1,30
1485175439830,15,1,30
1485175443182,15,1,30
1485175446260,15,1,30
1485175449281,15,1,30
1485175452466,15,1,30
1485175455545,15,1,30
1485175458615,15,1,30
1485175461628,15,1,30
1485175464651,15,1,30
1485175467779,15,1,30
1485175470799,15,1,30
1485175473809,15,1,30
1485175476852,15,1,30
