timestamp_ms,allocated_processors,available_processors
1485175051864,4,4
1485175055729,4,4
1485175059188,4,4
1485175062475,4,4
1485175066312,4,4
1485175069558,4,4
1485175072744,4,4
1485175076818,4,4
1485175080690,4,4
1485175083748,4,4
1485175087168,4,4
1485175090580,4,4
1485175093674,4,4
1485175097660,4,4
1485175100763,4,4
1485175106374,4,4
1485175109397,4,4
1485175112821,4,4
1485175116516,4,4
1485175119533,4,4
1485175122610,4,4
1485175125825,4,4
1485175129598,4,4
1485175132617,4,4
1485175135675,4,4
1485175138691,4,4
1485175143750,4,4
1485175147204,4,4
1485175151307,4,4
1485175154464,4,4
1485175157863,4,4
1485175161711,4,4
1485175164737,4,4
1485175168063,4,4
1485175172018,4,4
1485175175122,4,4
1485175178511,4,4
1485175182875,4,4
1485175186909,4,4
1485175190004,4,4
1485175193954,4,4
1485175197040,4,4
1485175200639,4,4
1485175204772,4,4
1485175207784,4,4
1485175210846,4,4
1485175214123,4,4
1485175217563,4,4
1485175220702,4,4
1485175223716,4,4
1485175226802,4,4
1485175229964,4,4
1485175232988,4,4
1485175236084,4,4
1485175239574,4,4
1485175243078,4,4
1485175246417,4,4
1485175250126,4,4
1485175253657,4,4
1485175257106,4,4
1485175261428,4,4
1485175264973,4,4
1485175267991,4,4
1485175271403,4,4
1485175274455,4,4
1485175277551,4,4
1485175280590,4,4
1485175283651,4,4
1485175286746,4,4
1485175290123,4,4
1485175293719,4,4
1485175297033,4,4
1485175300775,4,4
1485175304335,4,4
1485175307777,4,4
1485175310953,4,4
1485175314632,4,4
1485175318280,4,4
1485175321546,4,4
1485175324974,4,4
1485175328156,4,4
1485175331854,4,4
1485175335555,4,4
1485175338873,4,4
1485175342125,4,4
1485175345296,4,4
1485175348350,4,4
1485175352854,4,4
1485175356386,4,4
1485175359662,4,4
1485175362924,4,4
1485175365988,4,4
1485175369618,4,4
1485175374039,4,4
1485175377146,4,4
1485175380559,4,4
1485175384466,4,4
1485175387708,4,4
1485175391212,4,4
1485175394826,4,4
1485175398209,4,4
1485175401675,4,4
1485175405372,4,4
1485175408483,4,4
1485175411738,4,4
1485175414868,4,4
1485175417887,4,4
1485175420927,4,4
1485175424034,4,4
1485175427219,4,4
1485175430368,4,4
1485175433549,4,4
1485175436574,4,4
1485175439830,4,4
1485175443182,4,4
1485175446260,4,4
1485175449281,4,4
1485175452466,4,4
1485175455545,4,4
1485175458615,4,4
1485175461628,4,4
1485175464651,4,4
1485175467779,4,4
1485175470799,4,4
1485175473809,4,4
1485175476852,4,4
