timestamp_ms,file_descriptors_avg,file_descriptors_max,file_descriptors_min
1485174543076,337,412,207
1485174546218,339,410,211
1485174549488,342,415,211
1485174553100,344,412,211
1485174556121,347,418,211
1485174559369,350,422,211
1485174562389,351,425,211
1485174565734,346,420,211
1485174568761,348,423,211
1485174572019,349,430,211
1485174575138,347,432,211
1485174578380,349,442,211
1485174581502,349,448,211
1485174584516,344,440,211
1485174587691,341,424,211
1485174590951,333,419,211
1485174594094,334,415,211
1485174597162,339,423,211
1485174600231,338,416,211
1485174603246,335,408,211
1485174606333,334,399,211
1485174609562,333,398,211
1485174613115,335,400,211
1485174616603,336,402,211
1485174619961,341,407,211
1485174623470,337,414,207
1485174626862,332,401,207
1485174630110,338,413,203
1485174633186,341,418,207
1485174636212,335,400,207
1485174641475,337,404,219
1485174644944,335,410,219
1485174647976,330,387,219
1485174651219,333,394,221
1485174654309,334,391,221
1485174657324,334,396,219
1485174660354,335,396,219
1485174663698,326,400,213
1485174666831,326,393,213
1485174669885,324,394,215
1485174672963,324,385,218
1485174676361,330,387,223
1485174679460,326,388,227
1485174682572,331,388,234
1485174685950,333,392,233
1485174689331,336,396,231
1485174692472,342,402,236
1485174695562,342,403,238
1485174699071,348,409,246
1485174702146,346,411,243
1485174706716,348,408,243
1485174709893,352,414,243
1485174712972,354,413,246
1485174716026,354,413,246
1485174719762,353,411,239
1485174722782,349,408,244
1485174725800,357,417,246
1485174729321,358,418,250
1485174732426,360,426,249
1485174735636,364,434,247
1485174738668,364,428,242
1485174742303,367,445,242
1485174745456,371,441,244
1485174748478,367,439,239
1485174751867,363,440,238
1485174755052,362,437,235
1485174758307,369,449,242
1485174761328,371,445,250
1485174764860,374,451,256
1485174768032,380,457,256
1485174771390,378,452,258
1485174774427,373,443,261
1485174777489,372,427,265
1485174780520,363,415,263
1485174783992,367,418,266
1485174788792,360,423,244
1485174791968,357,420,246
1485174795672,356,417,247
1485174798968,362,427,251
1485174802460,359,414,256
1485174805996,362,420,263
1485174809071,366,421,266
1485174812147,362,424,263
1485174815411,370,433,265
1485174819951,377,439,272
1485174823230,368,433,248
1485174826525,376,440,258
1485174831473,373,431,260
1485174834627,372,436,260
1485174837735,377,445,260
1485174840844,373,432,262
1485174844924,378,438,263
1485174848643,383,441,268
1485174851917,381,443,265
1485174855399,389,460,270
1485174858864,389,467,274
1485174861890,395,477,287
1485174866113,400,479,294
1485174870051,396,464,293
1485174873141,394,471,282
1485174876199,400,476,286
1485174880220,396,483,272
1485174883509,400,478,285
1485174887150,400,469,290
1485174890980,401,477,286
1485174894264,403,476,289
1485174897949,406,478,298
1485174901851,399,470,296
1485174905161,397,462,307
1485174908671,391,456,287
1485174912559,398,468,298
1485174915951,399,476,304
1485174919269,394,466,303
1485174922366,398,458,313
1485174925445,390,452,314
1485174928720,387,454,308
1485174931800,382,432,310
1485174936219,390,440,325
1485174939240,390,440,320
1485174942552,391,445,325
1485174945855,385,445,313
1485174949060,382,441,304
1485174952234,383,448,310
1485174955653,379,434,314
1485174959436,379,442,306
1485174962541,375,418,313
1485174966053,380,432,320
1485174969809,379,428,318
1485174972877,387,434,323
1485174976257,379,427,316
1485174980471,383,418,327
1485174983674,379,423,312
1485174987021,381,421,323
1485174990719,384,422,323
1485174993831,383,430,310
1485174997107,382,425,313
1485175001194,381,416,315
1485175004454,382,426,306
1485175007476,383,432,302
1485175011968,391,436,309
1485175015076,386,439,298
1485175019611,387,445,294
1485175023118,390,446,300
1485175026225,390,447,296
1485175029864,398,456,312
1485175033800,392,428,320
1485175036962,397,438,320
1485175040704,396,436,319
1485175044896,396,443,307
1485175048223,400,451,316
1485175051864,406,446,329
1485175055729,407,448,335
1485175059188,412,451,338
1485175062475,404,450,326
1485175066312,404,446,326
1485175069558,402,448,331
1485175072744,393,448,305
1485175076818,396,448,308
1485175080690,401,456,316
1485175083748,403,451,319
1485175087168,398,441,320
1485175090580,404,442,329
1485175093674,404,446,327
1485175097660,404,444,337
1485175100763,400,439,331
1485175106374,392,446,307
1485175109397,395,438,317
1485175112821,400,445,327
1485175116516,401,443,336
1485175119533,400,443,323
1485175122610,388,432,304
1485175125825,392,441,305
1485175129598,395,443,306
1485175132617,396,444,302
1485175135675,395,451,298
1485175138691,399,450,313
1485175143750,406,452,320
1485175147204,409,459,321
1485175151307,414,462,332
1485175154464,414,455,340
1485175157863,414,458,333
1485175161711,414,456,338
1485175164737,417,464,336
1485175168063,417,459,338
1485175172018,416,468,326
1485175175122,412,472,301
1485175178511,413,472,308
1485175182875,417,470,313
1485175186909,412,469,309
1485175190004,413,477,312
1485175193954,414,471,323
1485175197040,412,474,333
1485175200639,415,479,326
1485175204772,408,462,339
1485175207784,407,443,344
1485175210846,410,454,341
1485175214123,411,439,358
1485175217563,403,432,350
1485175220702,394,424,337
1485175223716,394,426,338
1485175226802,401,432,352
1485175229964,398,426,350
1485175232988,398,434,350
1485175236084,392,422,337
1485175239574,395,420,350
1485175243078,402,429,357
1485175246417,404,427,363
1485175250126,412,437,370
1485175253657,415,439,376
1485175257106,413,433,375
1485175261428,412,433,375
1485175264973,416,440,373
1485175267991,415,440,370
1485175271403,414,440,378
1485175274455,417,438,390
1485175277551,425,441,398
1485175280590,419,447,392
1485175283651,416,442,379
1485175286746,409,429,372
1485175290123,413,439,364
1485175293719,413,439,368
1485175297033,416,444,374
1485175300775,414,444,380
1485175304335,409,441,381
1485175307777,413,450,377
1485175310953,416,452,382
1485175314632,411,460,363
1485175318280,409,462,355
1485175321546,409,466,360
1485175324974,413,464,364
1485175328156,417,462,369
1485175331854,419,467,367
1485175335555,416,466,359
1485175338873,419,465,368
1485175342125,423,464,374
1485175345296,424,466,383
1485175348350,418,467,366
1485175352854,416,459,356
1485175356386,405,450,338
1485175359662,409,449,341
1485175362924,418,456,351
1485175365988,425,462,352
1485175369618,420,459,351
1485175374039,428,466,360
1485175377146,433,467,368
1485175380559,433,471,369
1485175384466,439,474,371
1485175387708,440,476,380
1485175391212,435,465,378
1485175394826,439,482,391
1485175398209,449,479,402
1485175401675,446,481,404
1485175405372,438,483,381
1485175408483,430,478,362
1485175411738,428,489,352
1485175414868,430,478,355
1485175417887,424,467,340
1485175420927,421,463,342
1485175424034,415,467,336
1485175427219,409,466,328
1485175430368,406,451,350
1485175433549,414,457,354
1485175436574,419,469,361
1485175439830,423,476,368
1485175443182,419,484,357
1485175446260,416,483,345
1485175449281,413,473,345
1485175452466,423,489,350
1485175455545,399,432,357
1485175458615,394,409,380
1485175461628,383,390,379
1485175464651,372,379,368
1485175467779,369,377,358
1485175470799,364,366,361
1485175473809,364,366,361
1485175476852,369,375,364
