timestamp_ms,max_uptime
1485174709893,441550
1485174712972,444741
1485174716026,447808
1485174719762,450877
1485174722782,454590
1485174725800,457613
1485174729321,460629
1485174732426,464149
1485174735636,467259
1485174738668,470478
1485174742303,473502
1485174745456,477136
1485174748478,480293
1485174751867,483313
1485174755052,486698
1485174758307,489883
1485174761328,493135
1485174764860,496160
1485174768032,499730
1485174771390,502862
1485174774427,505328
1485174777489,508565
1485174780520,512196
1485174783992,515499
1485174788792,520584
1485174791968,523698
1485174795672,526800
1485174798968,529907
1485174802460,533522
1485174805996,536802
1485174809071,539993
1485174812147,543286
1485174815411,546706
1485174819951,550298
1485174823230,554831
1485174826525,558060
1485174831473,562730
1485174834627,566314
1485174837735,569482
1485174840844,572591
1485174844924,575679
1485174848643,580076
1485174851917,583552
1485174855399,586767
1485174858864,590232
1485174861890,593696
1485174866113,596748
1485174870051,600010
1485174873141,604666
1485174876199,608003
1485174880220,611203
1485174883509,615104
1485174887150,618347
1485174890980,622025
1485174894264,625812
1485174897949,629104
1485174901851,632727
1485174905161,636506
1485174908671,639992
1485174912559,643541
1485174915951,647395
1485174919269,650784
1485174922366,654100
1485174925445,657211
1485174928720,660366
1485174931800,663550
1485174936219,666635
1485174939240,670973
1485174942552,674068
1485174945855,677384
1485174949060,680730
1485174952234,683891
1485174955653,687065
1485174959436,690487
1485174962541,694244
1485174966053,697421
1485174969809,700907
1485174972877,704314
1485174976257,707725
1485174980471,711086
1485174983674,715309
1485174987021,718510
1485174990719,721867
1485174993831,725562
1485174997107,728711
1485175001194,731943
1485175004454,736025
1485175007476,739286
1485175011968,742314
1485175015076,746783
1485175019611,750551
1485175023118,753972
1485175026225,757965
1485175029864,761070
1485175033800,764733
1485175036962,768637
1485175040704,771800
1485175044896,775574
1485175048223,779759
1485175051864,783095
1485175055729,786737
1485175059188,790558
1485175062475,794018
1485175066312,797479
1485175069558,801150
1485175072744,804388
1485175076818,807766
1485175080690,812367
1485175083748,815528
1485175087168,818609
1485175090580,821997
1485175093674,825413
1485175097660,828586
1485175100763,832462
1485175106374,838189
1485175109397,841216
1485175112821,844469
1485175116516,848148
1485175119533,851352
1485175122610,854236
1485175125825,857448
1485175129598,860661
1485175132617,864410
1485175135675,867452
1485175138691,870512
1485175143750,875461
1485175147204,878591
1485175151307,882036
1485175154464,886147
1485175157863,889299
1485175161711,892705
1485175164737,896554
1485175168063,899578
1485175172018,902937
1485175175122,906851
1485175178511,909963
1485175182875,913342
1485175186909,918715
1485175190004,921741
1485175193954,924838
1485175197040,928685
1485175200639,931987
1485175204772,935472
1485175207784,939518
1485175210846,942627
1485175214123,945864
1485175217563,949017
1485175220702,952492
1485175223716,955530
1485175226802,958557
1485175229964,961689
1485175232988,964219
1485175236084,967745
1485175239574,970836
1485175243078,974637
1485175246417,977916
1485175250126,981283
1485175253657,984989
1485175257106,988496
1485175261428,992087
1485175264973,996262
1485175267991,999811
1485175271403,1002836
1485175274455,1006241
1485175277551,1009284
1485175280590,1012393
1485175283651,1015429
1485175286746,1018481
1485175290123,1021577
1485175293719,1024963
1485175297033,1028572
1485175300775,1031990
1485175304335,1035646
1485175307777,1039166
1485175310953,1042613
1485175314632,1045812
1485175318280,1049470
1485175321546,1053116
1485175324974,1056259
1485175328156,1059951
1485175331854,1063127
1485175335555,1066310
1485175338873,1070393
1485175342125,1073707
1485175345296,1076901
1485175348350,1080141
1485175352854,1084265
1485175356386,1087682
1485175359662,1091216
1485175362924,1094523
1485175365988,1097758
1485175369618,1100825
1485175374039,1104925
1485175377146,1108954
1485175380559,1111990
1485175384466,1115393
1485175387708,1119330
1485175391212,1122648
1485175394826,1126041
1485175398209,1129670
1485175401675,1133041
1485175405372,1136526
1485175408483,1140203
1485175411738,1143293
1485175414868,1146309
1485175417887,1149698
1485175420927,1152727
1485175424034,1155759
1485175427219,1158850
1485175430368,1162047
1485175433549,1165214
1485175436574,1168380
1485175439830,1171410
1485175443182,1174679
1485175446260,1178010
1485175449281,1181094
1485175452466,1184111
1485175455545,1187296
1485175458615,1190378
1485175461628,1193432
1485175464651,1196449
1485175467779,1199499
1485175470799,1202607
1485175473809,1205630
1485175476852,1208637
