timestamp_ms,non_heap_committed_in_bytes,non_heap_used_in_bytes
1485175278964,71544832,70343192
1485175282096,71610368,70419544
1485175286662,71610368,70429128
1485175289754,71610368,70431088
1485175293141,71610368,70452272
1485175296727,71675904,70443248
1485175300165,71675904,70443952
1485175303821,71675904,70510664
1485175307343,71741440,70539424
1485175310710,71741440,70541520
1485175313992,71741440,70549840
1485175317984,71741440,70556624
1485175321290,71806976,70585880
1485175324476,71806976,70586904
1485175327907,71806976,70592920
1485175331312,71806976,70614952
1485175334491,71806976,70589160
1485175338566,71806976,70546984
1485175341881,71806976,70531176
1485175345084,71806976,70548512
1485175349422,71806976,70583760
1485175352577,71806976,70580992
1485175355861,71872512,70689152
1485175359394,71938048,70726080
1485175362704,71938048,70753424
1485175365950,72069120,70832080
1485175369045,72069120,70835608
1485175373123,72069120,70881160
1485175377086,72069120,70882920
1485175380165,72069120,70884968
1485175383697,72134656,70931960
1485175387472,72134656,70942960
1485175390716,72658944,71357784
1485175394221,72658944,71387232
1485175397844,72724480,71553392
1485175401229,72790016,71584928
1485175404688,72855552,71673448
1485175408382,72921088,71750712
1485175411422,72986624,71718328
1485175414482,72986624,71761216
1485175417881,72986624,71654304
1485175420918,73052160,71763336
1485175423941,73052160,71787624
1485175427046,73052160,71791144
1485175430224,73117696,71810736
1485175433410,73117696,71663920
1485175436557,73117696,71672624
1485175439761,73117696,71676080
1485175442861,73117696,71685288
1485175446188,73117696,71629712
1485175449269,73117696,71731592
1485175452288,73117696,71768664
1485175455476,73117696,71806192
1485175458559,73117696,71887712
1485175461611,73117696,71938240
1485175464636,73117696,71974208
1485175467661,73117696,71968576
1485175470787,73117696,71981488
1485175473807,73117696,71979920
1485175476814,73117696,71982880
