timestamp_ms,total_in_millis
1485174972486,303750
1485174975903,304840
1485174980816,306240
1485174983482,307020
1485174986683,308040
1485174990037,309010
1485174993720,310070
1485174996867,311080
1485175001272,312350
1485175004204,313170
1485175007349,314320
1485175011922,315970
1485175014944,317180
1485175018120,318280
1485175022661,319960
1485175026151,321350
1485175029399,322520
1485175033126,323810
1485175036911,325090
1485175039955,326100
1485175044903,328170
1485175047923,329260
1485175051271,330480
1485175054896,331650
1485175058738,333040
1485175062187,334190
1485175065658,335520
1485175069319,336790
1485175072460,337810
1485175075934,339060
1485175079394,340350
1485175082737,341710
1485175086934,343400
1485175090576,344850
1485175093593,346070
1485175096763,347230
1485175100637,348670
1485175103770,349710
1485175108811,351220
1485175114024,352890
1485175119372,354440
1485175122410,355370
1485175125433,356380
1485175128964,357470
1485175132583,358700
1485175135604,359910
1485175141033,361410
1485175143640,362100
1485175146761,363030
1485175150211,363920
1485175154312,365160
1485175157483,366100
1485175160872,367110
1485175164733,368340
1485175167745,369130
1485175171108,370200
1485175175116,371570
1485175178133,372630
1485175182651,374210
1485175185715,375370
1485175189311,376700
1485175193011,377870
1485175196862,379030
1485175200134,380070
1485175203751,381020
1485175207710,382280
1485175210727,383300
1485175214048,384320
1485175217259,385230
1485175220676,386450
1485175224745,388230
1485175228540,389680
1485175231576,390640
1485175235605,391790
1485175239105,392740
1485175242498,394040
1485175246137,395050
1485175249443,396110
1485175253147,397690
1485175256673,399070
1485175261541,401090
1485175264552,402100
1485175267979,403200
1485175271010,404230
1485175274424,405300
1485175278957,406670
1485175283097,408060
1485175286177,409200
1485175289754,410620
1485175293157,411990
1485175296723,413240
1485175300669,414520
1485175303842,415260
1485175307432,416230
1485175310706,417320
1485175314003,418280
1485175317646,419210
1485175321358,420050
1485175324612,421000
1485175327904,422020
1485175331459,423030
1485175335112,424080
1485175338640,424930
1485175341974,425880
1485175345135,426630
1485175348315,427540
1485175352448,428900
1485175355868,430060
1485175359493,431290
1485175362697,432510
1485175365931,433920
1485175369051,435310
1485175373116,437360
1485175377127,439110
1485175380162,440460
1485175383566,442000
1485175387588,443700
1485175390757,445220
1485175394220,447290
1485175397842,449720
1485175401220,451760
1485175404688,454690
1485175408380,457590
1485175411421,459640
1485175414630,462210
1485175417664,464900
1485175420899,468420
1485175423938,471130
1485175427043,473960
1485175430223,476630
1485175433546,478850
1485175436561,481820
1485175439583,483900
1485175442864,486250
1485175446190,488500
1485175449271,490020
1485175452314,492030
1485175455472,494200
1485175458553,495940
1485175461611,497050
1485175464637,499730
1485175467658,501060
1485175470784,501850
1485175473806,501870
1485175476813,502780
