timestamp_ms,total_in_millis
1485175022148,328010
1485175029246,330980
1485175032909,332290
1485175036813,333670
1485175039976,334790
1485175043749,336310
1485175047908,337930
1485175051271,338890
1485175054895,339920
1485175058734,341040
1485175062194,342190
1485175065655,343250
1485175069326,344400
1485175072564,345470
1485175075942,346510
1485175079401,347610
1485175083704,349120
1485175086785,350210
1485175090173,351380
1485175093589,352280
1485175096762,353200
1485175100638,354390
1485175104441,355730
1485175107695,356920
1485175114834,359340
1485175118168,360400
1485175122412,361870
1485175125624,363120
1485175128836,364560
1485175132586,366380
1485175135628,367890
1485175139978,369770
1485175143637,371230
1485175146767,372610
1485175150212,374110
1485175154323,375590
1485175157475,376650
1485175160881,377840
1485175164730,379230
1485175167754,380370
1485175171113,381400
1485175175027,382910
1485175178139,384360
1485175181518,385560
1485175185718,387130
1485175189917,388710
1485175193014,389740
1485175196861,390880
1485175200163,391940
1485175203648,393210
1485175207694,394460
1485175210796,395430
1485175214040,396330
1485175217193,397300
1485175220668,398450
1485175225067,399970
1485175228155,400840
1485175232376,402080
1485175235921,403370
1485175238980,404580
1485175242813,405970
1485175246092,407190
1485175249441,408380
1485175253142,409730
1485175256673,411130
1485175260263,412130
1485175264438,413300
1485175267987,414290
1485175271007,415130
1485175274417,416220
1485175279008,417760
1485175282055,418810
1485175286657,420200
1485175289753,421170
1485175293139,422150
1485175296748,423120
1485175300166,423980
1485175303822,424950
1485175307342,426090
1485175310789,427240
1485175313988,428470
1485175317646,429820
1485175321292,431250
1485175324435,432340
1485175328127,433620
1485175331303,434730
1485175334486,435850
1485175338568,437250
1485175341883,438440
1485175345077,439520
1485175349783,441000
1485175352441,441950
1485175355858,443170
1485175359392,444580
1485175362699,445640
1485175365934,446610
1485175369001,447890
1485175373101,449140
1485175377131,450350
1485175380166,451140
1485175383566,452260
1485175387506,453530
1485175390824,454720
1485175394217,456540
1485175397846,458420
1485175401217,460480
1485175404702,463620
1485175408380,467220
1485175411466,470700
1485175414485,474240
1485175417874,477700
1485175420903,480620
1485175423935,483880
1485175427018,487290
1485175430224,490160
1485175433390,493610
1485175436556,496120
1485175439586,499190
1485175442855,502230
1485175446186,506850
1485175449270,511320
1485175452287,515650
1485175455472,520400
1485175458554,525770
1485175461608,527720
1485175464625,527890
1485175467675,528310
1485175470783,529910
1485175473806,529940
1485175476813,531200
