timestamp_ms,rx_count,tx_count
1485175228151,5575,5584
1485175231575,5604,5611
1485175235443,5628,5634
1485175238934,5652,5659
1485175242484,5679,5684
1485175246091,5703,5707
1485175249691,5717,5726
1485175253105,5745,5752
1485175256806,5765,5771
1485175260251,5784,5793
1485175264617,5810,5817
1485175268116,5832,5839
1485175271136,5851,5859
1485175274702,5881,5887
1485175278959,5903,5909
1485175282040,5919,5929
1485175286173,5951,5957
1485175290084,5974,5981
1485175293139,5990,6000
1485175296643,6015,6022
1485175300786,6039,6045
1485175303814,6056,6061
1485175307373,6084,6092
1485175310690,6108,6113
1485175314029,6125,6132
1485175318129,6153,6159
1485175321416,6173,6182
1485175324433,6188,6194
1485175327902,6215,6223
1485175331306,6238,6248
1485175334484,6257,6266
1485175338505,6289,6295
1485175341825,6307,6316
1485175345071,6323,6333
1485175348971,6356,6361
1485175352821,6375,6381
1485175356202,6396,6401
1485175359478,6425,6433
1485175362690,6446,6455
1485175366010,6463,6471
1485175369067,6483,6492
1485175373112,6514,6522
1485175376964,6537,6544
1485175380235,6554,6562
1485175383771,6582,6588
1485175387468,6597,6607
1485175391141,6631,6638
1485175394521,6656,6663
1485175398132,6693,6695
1485175401238,6717,6723
1485175404769,6764,6767
1485175408397,6782,6785
1485175411412,6810,6809
1485175414483,6834,6838
1485175417639,6891,6892
1485175420921,6931,6931
1485175423991,6952,6956
1485175427016,6982,6983
1485175430210,7020,7018
1485175433403,7042,7045
1485175436559,7076,7076
1485175439590,7097,7102
1485175442884,7132,7129
1485175446246,7162,7161
1485175449268,7223,7219
1485175452308,7268,7269
1485175455438,7343,7336
1485175458579,7431,7424
1485175461606,7458,7452
1485175464623,7476,7470
1485175467666,7497,7490
1485175470793,7514,7508
1485175473810,7532,7526
1485175476822,7551,7545
