timestamp_ms,rx_size_in_bytes,tx_size_in_bytes
1485174926025,44632532,6928604
1485174929386,45078880,6948663
1485174936104,46011531,7212104
1485174939150,46411520,7233568
1485174942359,47101474,7253532
1485174945932,47102457,7508413
1485174948956,48064968,7530002
1485174952129,48553942,7535121
1485174955152,48768294,7555210
1485174958791,50039382,7590426
1485174962402,50323253,7847891
1485174965793,50575425,7867957
1485174969099,50891358,8212329
1485174972614,51515746,8485789
1485174976223,51931978,8507436
1485174980822,52850248,8527589
1485174983864,53460387,8547860
1485174986888,54092055,8758174
1485174990096,54092850,8778271
1485174993706,54570085,8784569
1485174997079,55195146,8821889
1485175000833,55427089,9063530
1485175004294,56118853,9370292
1485175007333,56119546,9621703
1485175010824,56856885,9659257
1485175014986,57575987,9679485
1485175018116,58769800,9684626
1485175021760,58999239,9704906
1485175026138,59991091,9968982
1485175029797,60976661,9991322
1485175033076,61192470,10012613
1485175036847,61436519,10017670
1485175040062,61644357,10052884
1485175043746,62102512,10485549
1485175047965,62818426,10505737
1485175051585,63770594,10785929
1485175054942,64284781,11061392
1485175059065,64728012,11070148
1485175062182,64728807,11105219
1485175065478,65254210,11112548
1485175069448,65996968,11132781
1485175072464,66391120,11492959
1485175075945,67361954,11498053
1485175079395,67752801,11519642
1485175082739,68211276,11856272
1485175086791,68782321,11878523
1485175090254,69648520,12150039
1485175093600,69870281,12370938
1485175097402,70313807,12392139
1485175100754,70666887,12404630
1485175103771,70888296,12427729
1485175107457,72531857,12447814
1485175114025,73877235,12731856
1485175117850,74077149,12905642
1485175122406,74832241,13440631
1485175125424,75400986,13475863
1485175128852,75520326,13480939
1485175132576,75730162,13502708
1485175135605,76181882,13537782
1485175139538,77272291,13557847
1485175144084,77273462,14232186
1485175147104,78059427,14238503
1485175150326,79045644,14275728
1485175154325,79254434,14299449
1485175157480,79760307,14319667
1485175161089,80235763,14687989
1485175164723,80763620,14693165
1485175167754,81209715,14732999
1485175171235,81659202,14754335
1485175175064,81871851,14999435
1485175178238,82405600,15021621
1485175181500,82646613,15042984
1485175185712,83114622,15581396
1485175189313,84709386,15603310
1485175193113,85067974,15639375
1485175196858,85324199,15644610
1485175200350,85774850,16023338
1485175204065,86018887,16060487
1485175207706,86255030,16068344
1485175210728,86741880,16344849
1485175214045,87468092,16368010
1485175217205,87899327,16641342
1485175220860,88115084,16927381
1485175224615,88861376,16949763
1485175228161,89806828,16973705
1485175231592,90670695,16996123
1485175235497,91429965,17250221
1485175238943,92457622,17517412
1485175242713,93046740,17693067
1485175246105,93841081,17717584
1485175249699,93970490,17755833
1485175253127,94454293,17907099
1485175256808,94877119,17914194
1485175260253,95277677,17936630
1485175264685,96836324,17975005
1485175268118,97299446,18000141
1485175271136,97573045,18277574
1485175274781,98620925,18304322
1485175278958,98954696,18328964
1485175282074,99408297,18744959
1485175286345,100389853,18786088
1485175290086,100820167,18808245
1485175293156,101306323,19136885
1485175296651,101665582,19159298
1485175300792,102417238,19186044
1485175303819,102872724,19192360
1485175307376,104025838,19477421
1485175310693,104474401,19499716
1485175314031,105260369,19774071
1485175318151,106246796,19797443
1485175321418,107173470,20156946
1485175324439,107174163,20423310
1485175327905,107666533,20449866
1485175331309,108431569,20478013
1485175334487,109120328,20500307
1485175338508,109537453,20542906
1485175341831,109915952,20565170
1485175345074,110733564,20571475
1485175348974,111207750,20828776
1485175352842,111963288,20853436
1485175356226,112882513,20875746
1485175359492,113730893,21412330
1485175362691,114459289,21684605
1485175366013,114460084,21722854
1485175369081,114930325,21747375
1485175373113,115617798,21768733
1485175377082,116025541,21791027
1485175380238,116674737,21829401
1485175383767,117943826,21835717
1485175387468,118344767,22133632
1485175391144,118717757,22384228
1485175394521,119696787,22554537
1485175398145,120046647,22794957
1485175401239,120502518,22802512
1485175404825,121776697,22825172
1485175408399,122622527,22864048
1485175411417,124073452,23085192
1485175414480,125994808,23297839
1485175417659,127936637,23587281
1485175420920,128564740,23932110
1485175423997,130360915,24189632
1485175427014,132143188,24445454
1485175430204,134748248,25042132
1485175433408,136541479,25631054
1485175436562,138510698,25660395
1485175439757,140207618,25892702
1485175442885,141166386,26367062
1485175446250,142895457,26391098
1485175449267,152453142,26402216
1485175452308,161621261,26736155
1485175455434,175063694,26776825
1485175458589,193286216,26785581
1485175461609,194346529,27024840
1485175464625,194347426,27067789
1485175467669,194438936,27166805
1485175470795,195010237,27193494
1485175473811,195011032,27236412
1485175476824,195864057,27560583
