timestamp_ms,current_open,total_opened
1485175051366,9,224
1485175054940,9,224
1485175058920,9,224
1485175062181,9,225
1485175065477,9,225
1485175069435,9,225
1485175072457,9,226
1485175075933,9,226
1485175079390,9,227
1485175082728,9,228
1485175086789,8,229
1485175090253,9,230
1485175093598,9,230
1485175097400,9,230
1485175100633,9,232
1485175103767,9,235
1485175107453,8,236
1485175114022,9,238
1485175117849,9,238
1485175122401,9,238
1485175125420,9,238
1485175128851,9,239
1485175132572,9,239
1485175135601,9,242
1485175139472,9,243
1485175144079,9,243
1485175147099,8,243
1485175150322,9,244
1485175154318,9,244
1485175157474,9,244
1485175160956,9,244
1485175164718,9,244
1485175167748,9,246
1485175171230,9,247
1485175175062,9,250
1485175178129,9,250
1485175181497,9,250
1485175185708,9,251
1485175189301,9,252
1485175193109,9,252
1485175196853,9,252
1485175200128,9,253
1485175204063,9,253
1485175207693,9,254
1485175210724,9,255
1485175214039,8,256
1485175217200,9,257
1485175220772,9,258
1485175224582,9,259
1485175228151,9,259
1485175231575,9,259
1485175235443,9,260
1485175238934,9,261
1485175242484,9,261
1485175246091,8,262
1485175249691,9,263
1485175253105,8,263
1485175256806,9,264
1485175260251,9,264
1485175264617,9,265
1485175268116,9,265
1485175271136,9,266
1485175274702,8,267
1485175278959,9,268
1485175282040,9,268
1485175286173,9,270
1485175290084,9,270
1485175293139,9,271
1485175296643,8,271
1485175300786,9,272
1485175303814,8,272
1485175307373,9,274
1485175310690,9,274
1485175314029,9,275
1485175318129,9,276
1485175321416,9,276
1485175324433,9,277
1485175327902,9,278
1485175331306,9,278
1485175334484,9,279
1485175338505,9,280
1485175341825,9,281
1485175345071,9,281
1485175348971,8,282
1485175352821,9,283
1485175356202,9,284
1485175359478,9,285
1485175362690,9,285
1485175366010,9,285
1485175369067,9,286
1485175373112,8,287
1485175376964,9,288
1485175380235,9,289
1485175383771,9,289
1485175387468,9,289
1485175391141,8,292
1485175394521,8,293
1485175398132,9,294
1485175401238,8,294
1485175404769,6,296
1485175408397,6,297
1485175411412,5,298
1485175414483,5,298
1485175417639,5,301
1485175420921,5,302
1485175423991,5,304
1485175427016,5,305
1485175430210,5,306
1485175433403,5,308
1485175436559,5,310
1485175439590,5,311
1485175442884,4,312
1485175446246,3,312
1485175449268,4,313
1485175452308,4,313
1485175455438,3,313
1485175458579,3,313
1485175461606,4,314
1485175464623,3,314
1485175467666,4,315
1485175470793,3,315
1485175473810,3,315
1485175476822,2,316
