timestamp_ms,current_as_source,current_as_target
1485175373112,2,0
1485175376964,2,0
1485175380235,2,0
1485175383771,2,0
1485175387468,2,0
1485175391141,2,0
1485175394521,2,0
1485175398132,2,0
1485175401238,2,0
1485175404769,2,0
1485175408397,2,0
1485175411412,2,0
1485175414483,2,0
1485175417639,2,0
1485175420921,2,0
1485175423991,2,0
1485175427016,2,0
1485175430210,2,0
1485175433403,2,0
1485175436559,2,0
1485175439590,2,0
1485175442884,2,0
1485175446246,1,0
1485175449268,2,0
1485175452308,2,0
1485175455438,2,0
1485175458579,1,0
1485175461606,0,0
1485175464623,0,0
1485175467666,0,0
1485175470793,0,0
1485175473810,0,0
1485175476822,0,0
