timestamp_ms,total_stopped_time_in_millis,total_throttled_time_in_millis,total_time_in_millis
1485174702180,0,0,632054
1485174705205,0,0,632054
1485174708696,0,0,632054
1485174713765,0,0,632054
1485174716973,0,0,632054
1485174720305,0,0,632054
1485174723481,0,0,632054
1485174726556,0,0,632054
1485174729684,0,0,632054
1485174733091,0,0,632054
1485174736257,0,0,632054
1485174739529,0,0,652209
1485174742960,0,0,652209
1485174746101,0,0,687194
1485174749166,0,0,687194
1485174752294,0,0,687194
1485174756089,0,0,706383
1485174759117,0,0,706383
1485174762265,0,0,723696
1485174765970,0,0,723696
1485174769143,0,0,723696
1485174772679,0,0,790680
1485174776577,0,0,810770
1485174780349,0,0,810770
1485174783621,0,0,850428
1485174787119,0,0,850428
1485174790553,0,0,868270
1485174793812,0,0,889949
1485174798084,0,0,889949
1485174801669,0,0,910129
1485174805032,0,0,910129
1485174808235,0,0,926052
1485174811463,0,0,926052
1485174814822,0,0,926052
1485174818025,0,0,926052
1485174822001,0,0,926052
1485174825027,0,0,926052
1485174828190,0,0,938774
1485174831274,0,0,951077
1485174834511,0,0,951077
1485174837675,0,0,951077
1485174840952,0,0,951077
1485174844198,0,0,951077
1485174848502,0,0,951077
1485174851918,0,0,951077
1485174854937,0,0,951077
1485174858676,0,0,951077
1485174861883,0,0,951077
1485174864921,0,0,982309
1485174868171,0,0,982309
1485174872793,0,0,982309
1485174875915,0,0,982309
1485174879373,0,0,1053800
1485174883230,0,0,1053800
1485174886559,0,0,1053800
1485174890032,0,0,1053800
1485174894715,0,0,1075216
1485174897796,0,0,1132339
1485174900831,0,0,1190969
1485174905152,0,0,1190969
1485174908186,0,0,1213200
1485174911777,0,0,1213200
1485174915608,0,0,1213200
1485174918950,0,0,1213200
1485174922375,0,0,1213200
1485174925966,0,0,1213200
1485174929486,0,0,1269508
1485174936101,0,0,1297682
1485174939141,0,0,1297682
1485174942357,0,0,1384322
1485174945719,0,0,1384322
1485174948954,0,0,1384322
1485174952127,0,0,1384322
1485174955150,0,0,1384322
1485174958835,0,0,1451722
1485174962401,0,0,1451722
1485174965546,0,0,1451722
1485174969098,0,0,1451722
1485174972479,0,0,1451722
1485174976076,0,0,1451722
1485174980815,0,0,1465871
1485174983862,0,0,1465871
1485174986886,0,0,1465871
1485174990093,0,0,1465871
1485174993705,0,0,1465871
1485174996869,0,0,1465871
1485175000793,0,0,1482248
1485175004292,0,0,1482248
1485175007330,0,0,1482248
1485175011334,0,0,1482248
1485175014942,0,0,1482248
1485175018113,0,0,1482248
1485175021777,0,0,1500494
1485175026123,0,0,1500494
1485175029405,0,0,1524247
1485175033125,0,0,1524247
1485175036909,0,0,1548219
1485175039942,0,0,1548219
1485175043740,0,0,1548219
1485175047957,0,0,1548219
1485175051368,0,0,1570146
1485175054942,0,0,1570146
1485175058922,0,0,1570146
1485175062185,0,0,1570146
1485175065525,0,0,1570146
1485175069446,0,0,1570146
1485175072458,0,0,1570146
1485175075933,0,0,1570146
1485175079392,0,0,1570146
1485175082735,0,0,1570146
1485175086931,0,0,1655236
1485175090516,0,0,1655236
1485175093598,0,0,1655236
1485175097404,0,0,1655236
1485175100635,0,0,1736534
1485175103768,0,0,1736534
1485175107454,0,0,1736534
1485175114023,0,0,1736534
1485175117850,0,0,1736534
1485175122404,0,0,1736534
1485175125421,0,0,1736534
1485175128963,0,0,1736534
1485175132574,0,0,1736534
1485175135602,0,0,1736534
1485175139506,0,0,1736534
1485175144082,0,0,1736534
1485175147101,0,0,1736534
1485175150407,0,0,1736534
1485175154320,0,0,1736534
1485175157477,0,0,1736534
1485175160958,0,0,1736534
1485175164721,0,0,1736534
1485175167751,0,0,1736534
1485175171234,0,0,1736534
1485175175114,0,0,1736534
1485175178131,0,0,1736534
1485175181497,0,0,1736534
1485175185711,0,0,1820089
1485175189309,0,0,1820089
1485175193110,0,0,1856317
1485175196857,0,0,1856317
1485175200132,0,0,1884549
1485175204150,0,0,1884549
1485175207703,0,0,1884549
1485175210726,0,0,1884549
1485175214042,0,0,1884549
1485175217258,0,0,1912674
1485175220773,0,0,1912674
1485175224600,0,0,1912674
1485175228162,0,0,1912674
1485175231574,0,0,1912674
1485175235444,0,0,1912674
1485175238952,0,0,1912674
1485175242485,0,0,1912674
1485175246122,0,0,1943151
1485175249697,0,0,1943151
1485175253129,0,0,1943151
1485175256807,0,0,1943151
1485175260296,0,0,1943151
1485175264616,0,0,1943151
1485175268119,0,0,2009058
1485175271138,0,0,2009058
1485175274721,0,0,2009058
1485175278955,0,0,2009058
1485175282096,0,0,2009058
1485175286175,0,0,2040475
1485175290088,0,0,2040475
1485175293157,0,0,2040475
1485175296721,0,0,2112008
1485175300788,0,0,2112008
1485175303817,0,0,2112008
1485175307430,0,0,2112008
1485175310690,0,0,2112008
1485175314030,0,0,2141921
1485175318148,0,0,2162360
1485175321423,0,0,2162360
1485175324436,0,0,2162360
1485175327903,0,0,2162360
1485175331458,0,0,2162360
1485175334847,0,0,2162360
1485175338639,0,0,2191663
1485175341828,0,0,2191663
1485175345086,0,0,2191663
1485175348972,0,0,2191663
1485175352823,0,0,2191663
1485175356237,0,0,2191663
1485175359491,0,0,2191663
1485175362700,0,0,2191663
1485175366014,0,0,2229359
1485175369079,0,0,2229359
1485175373119,0,0,2229359
1485175376984,0,0,2229359
1485175380237,0,0,2229359
1485175383765,0,0,2282615
1485175387591,0,0,2305558
1485175391142,0,0,2305558
1485175394522,0,0,2305558
1485175398198,0,0,2327557
1485175401390,0,0,2327557
1485175404770,0,0,2346796
1485175408399,0,0,2359233
1485175411415,0,0,2378771
1485175414486,0,0,2378771
1485175417651,0,0,2378771
1485175420923,0,0,2386153
1485175423993,0,0,2500221
1485175427013,0,0,2504252
1485175430218,0,0,2513684
1485175433540,0,0,2516530
1485175436569,0,0,2516530
1485175439592,0,0,2520020
1485175442886,0,0,2535983
1485175446248,0,0,2535983
1485175449269,0,0,2535983
1485175452311,0,0,2535983
1485175455441,0,0,2548873
1485175458586,0,592,2560481
1485175461609,0,592,2560481
1485175464624,0,592,2562141
1485175467672,0,2177,2566807
1485175470799,0,2177,2566807
1485175473811,0,2177,2566807
1485175476829,0,2177,2566807
