timestamp_ms,non_heap_committed_in_bytes,non_heap_used_in_bytes
1485174712912,70557696,69107248
1485174717189,70623232,69240800
1485174720373,70688768,69349544
1485174722769,70754304,69332384
1485174725792,70754304,69401192
1485174730080,70819840,69528840
1485174732326,70819840,69487688
1485174735432,70950912,69634640
1485174738644,70950912,69730176
1485174743026,70950912,69733736
1485174745314,71016448,69765512
1485174748464,71081984,69835600
1485174752836,71147520,69898104
1485174756101,71213056,69927920
1485174759120,71213056,69921008
1485174762378,71213056,69784104
1485174766017,71213056,69810952
1485174769635,71213056,69816840
1485174773068,71213056,69892448
1485174777341,71213056,69954464
1485174780438,71213056,69958048
1485174783677,71213056,69939248
1485174787497,71213056,69982072
1485174790681,71278592,70151064
1485174793985,71344128,70146864
1485174798647,71344128,70176960
1485174801893,71409664,70230824
1485174805139,71409664,70260024
1485174808350,71475200,70283168
1485174811465,71540736,70385008
1485174814865,71606272,70411984
1485174818048,71671808,70470872
1485174822003,71671808,70534464
1485174825064,71737344,70558816
1485174828193,71737344,70573608
1485174830947,71868416,70607656
1485174834489,71868416,70645368
1485174837657,71868416,70657848
1485174840766,71868416,70657848
1485174844202,71868416,70683288
1485174848504,71868416,70687688
1485174851787,71868416,70672672
1485174854982,71868416,70692984
1485174858568,71868416,70737448
1485174861875,71868416,70734872
1485174864949,72065024,70869208
1485174869199,72065024,70898896
1485174872817,72065024,70931128
1485174875936,72065024,70941488
1485174879227,72327168,70957000
1485174883240,72327168,70956440
1485174886525,72523776,71049760
1485174890196,72523776,71058968
1485174893992,72523776,71083256
1485174897275,72720384,71260936
1485174900963,72720384,71275080
1485174905155,72720384,71300216
1485174908205,72720384,71337928
1485174911722,72720384,71337928
1485174915566,72916992,71468680
1485174918953,72916992,71471432
1485174922280,72916992,71465856
1485174925401,73048064,71632896
1485174928541,73113600,71696256
1485174936111,73179136,71710768
1485174939145,73244672,71778560
1485174942299,73244672,71791992
1485174945561,73244672,71807992
1485174948910,73244672,71805816
1485174952089,73244672,71805816
1485174955159,73441280,71944888
1485174958839,73506816,72007032
1485174962412,73506816,72002360
1485174965565,73506816,71988792
1485174969080,73506816,72009912
1485174972486,73506816,72024888
1485174975904,73506816,72025592
1485174980817,73572352,72060704
1485174983483,73572352,72061408
1485174986684,73572352,72106976
1485174990037,73572352,72108368
1485174993721,73572352,72119120
1485174996867,73572352,72127680
1485175001272,73637888,72126816
1485175004205,73637888,72069728
1485175007349,73703424,72132128
1485175011923,73703424,72159136
1485175014944,73703424,72163296
1485175018121,73703424,72180576
1485175022662,73703424,72056424
1485175026151,73703424,72061472
1485175029400,73703424,72107840
1485175033127,73703424,72109056
1485175036912,73703424,72157056
1485175039964,73703424,72157056
1485175044904,73703424,72143312
1485175047923,73703424,72181200
1485175051271,73703424,72173456
1485175054896,73703424,72175632
1485175058738,73703424,72170088
1485175062191,73703424,72176872
1485175065658,73703424,72181992
1485175069320,73703424,72184488
1485175072460,73834496,72339736
1485175075934,73834496,72346144
1485175079402,73834496,72392160
1485175082737,73834496,72407072
1485175086934,73834496,72413288
1485175090576,73834496,72460008
1485175093594,73834496,72460008
1485175096764,73834496,72464168
1485175100637,73900032,72426232
1485175103771,74096640,72609784
1485175108811,74096640,72619960
1485175114031,74227712,72767096
1485175119372,74227712,72802936
1485175122410,74227712,72817912
1485175125433,74227712,72819960
1485175128965,74227712,72800376
1485175132584,74227712,72785984
1485175135612,74227712,72786688
1485175141033,74227712,72810496
1485175143641,74227712,72810496
1485175146761,74227712,72810496
1485175150212,74293248,72848304
1485175154313,74293248,72850288
1485175157483,74293248,72880112
1485175160872,74293248,72848240
1485175164733,74293248,72848240
1485175167746,74293248,72848240
1485175171108,74293248,72844720
1485175175117,74293248,72844720
1485175178134,74293248,72845744
1485175182652,74293248,72876312
1485175185715,74358784,72960816
1485175189312,74358784,72964848
1485175193011,74358784,72964848
1485175196862,74358784,72962512
1485175200135,74358784,72971656
1485175203752,74358784,72949296
1485175207710,74358784,72985368
1485175210734,74358784,72985368
1485175214048,74358784,72985368
1485175217259,74358784,72985368
1485175220676,74358784,73015056
1485175224745,74424320,73047160
1485175228541,74686464,73202360
1485175231576,74686464,73218368
1485175235605,74686464,73218368
1485175239106,74686464,73228232
1485175242498,74686464,73228232
1485175246174,74686464,73231128
1485175249444,74686464,73248944
1485175253148,74686464,73247256
1485175256673,74686464,73244432
1485175261543,74686464,73236040
1485175264553,74686464,73242232
1485175267980,74686464,73249080
1485175271011,74686464,73249080
1485175274425,74686464,73289400
1485175278957,74686464,73291872
1485175283098,74686464,73291872
1485175286177,74686464,73293280
1485175289755,74686464,73318688
1485175293176,74686464,73325056
1485175296724,74752000,73260656
1485175300670,74752000,73309712
1485175303843,74752000,73310736
1485175307433,74752000,73312728
1485175310706,74752000,73312728
1485175314004,74752000,73312728
1485175317646,74752000,73312728
1485175321359,74752000,73312728
1485175324613,74752000,73312728
1485175327905,74752000,73322712
1485175331459,74752000,73324120
1485175335112,74752000,73328344
1485175338641,74752000,73328856
1485175341975,74752000,73335320
1485175345135,74752000,73335320
1485175348316,74752000,73331864
1485175352448,74752000,73350520
1485175355869,74752000,73341944
1485175359493,74752000,73353592
1485175362698,74883072,73421200
1485175365932,74883072,73430928
1485175369051,74883072,73454744
1485175373117,74883072,73440408
1485175377127,74883072,73444440
1485175380162,74883072,73444440
1485175383567,74883072,73447704
1485175387588,74883072,73447704
1485175390757,75341824,73998512
1485175394221,75341824,74037160
1485175397842,75341824,74183928
1485175401221,75407360,74272224
1485175404688,75407360,74201856
1485175408380,75407360,74273560
1485175411421,75603968,74407720
1485175414630,75866112,74411416
1485175417665,75866112,74335672
1485175420900,75866112,74095824
1485175423939,75866112,74059896
1485175427044,75866112,73965280
1485175430224,75866112,73969472
1485175433547,75866112,73971712
1485175436562,75866112,73996128
1485175439584,75866112,74025112
1485175442865,75866112,74037080
1485175446191,75866112,74058936
1485175449271,75866112,74100616
1485175452315,75866112,74107592
1485175455473,75866112,74142152
1485175458553,75866112,74158624
1485175461611,75866112,74152432
1485175464637,75866112,74122400
1485175467659,75866112,74123136
1485175470784,75866112,74142808
1485175473806,75866112,74143000
1485175476813,75866112,74144280
