procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free        inact       active   si   so    bi    bo   in   cs  us  sy  id  wa  st                 EST
 1  6            8       261800     58948292      4963632    0    0 78640   448 9573 20194   1   1  86  12   0 2015-02-19 19:50:20
 2  6            8       262944     58947936      4967708    0    0 76327   792 9505 19884   1   1  87  11   0 2015-02-19 19:51:20
 0  3            8       268892     58941136      4970080    0    0 73633  1145 9547 20266   1   1  87  11   0 2015-02-19 19:52:20
 1  6            8       271844     58933260      4972308    0    0 72481   680 9635 21006   1   1  86  13   0 2015-02-19 19:53:20
 0  7            8       265612     58926868      4975448    0    0 69788   453 9975 20792   1   1  85  13   0 2015-02-19 19:54:20
 1  8            8       270572     58923228      4977712    0    0 69371   719 9719 20753   1   1  85  13   0 2015-02-19 19:55:20
 1  5            8       245440     58944692      4979908    0    0 71268   634 9888 20446   1   1  85  13   0 2015-02-19 19:56:20
 2  8            8       285140     58912752      4982684    0    0 68808  1188 9385 19856   1   1  86  12   0 2015-02-19 19:57:20
 0  7            8       286460     58896212      4984896    0    0 72121   340 9879 19949   1   1  86  12   0 2015-02-19 19:58:20
 2  7            8       253280     58927852      4986388    0    0 72661   840 9500 20109   1   1  85  13   0 2015-02-19 19:59:20
 0  4            8       284916     58900640      4987532    0    0 71997   641 9508 19849   1   1  86  13   0 2015-02-19 20:00:20
 0  5            8       269904     58922768      4986652    0    0 73919  1221 9665 20469   1   1  86  12   0 2015-02-19 20:01:20
 0  4            8       266920     58936076      4984720    0    0 77457   343 9903 20971   1   1  85  13   0 2015-02-19 20:02:20
 1  3            8       273560     58943404      4982180    0    0 81828   843 10395 21970   1   1  84  14   0 2015-02-19 20:03:20
 0  8            8       270252     58960624      4977388    0    0 89765   678 10453 22155   1   1  86  12   0 2015-02-19 20:04:20
 1  7            8       313392     58938672      4971480    0    0 91248   886 10179 22271   1   1  86  12   0 2015-02-19 20:05:20
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free        inact       active   si   so    bi    bo   in   cs  us  sy  id  wa  st                 EST
 0  7            8       265356     59007732      4960736    0    0 99874   698 10258 22672   1   1  86  12   0 2015-02-19 20:06:20
 0  8            8       306108     58989664      4947860    0    0 105905   465 10310 22444   1   1  85  13   0 2015-02-19 20:07:20
 1  5            8       271464     59033332      4940212    0    0 111786   698 10516 22632   1   1  85  14   0 2015-02-19 20:08:20
 0  4            8       288992     59028456      4939892    0    0 106671   682 9349 21371   1   1  85  13   0 2015-02-19 20:09:20
